image_id,file_name,topic,structure_name,aliases,body_region,function,difficulty,related_text_topic,related_section,source
IMG001,IMG001_neuron_structure.png,nervous system,Neuron,"nerve cell; neuron structure",nervous system,"basic neural signaling structure",easy,nervous system,4.5 Nervous Tissue Mediates Perception and Response,approved_open_source
IMG002,IMG002_brain_lobes.png,nervous system,Brain lobes,"frontal lobe; parietal lobe; temporal lobe; occipital lobe",brain,"major cortical region identification",easy,nervous system,12.1 Basic Structure and Function of the Nervous System,approved_open_source
IMG003,IMG003_spinal_cord_section.png,muscle structure,Skeletal muscle fiber,"muscle fiber; sarcomere; skeletal muscle; myofibril; sarcolemma",skeletal muscle,"contractile organization",medium,muscle structure,10.2 Skeletal Muscle,approved_open_source
IMG004,IMG004_nervous_system_overview.jpg,nervous system,Nervous system overview,"brain; spinal cord; peripheral nerves",whole nervous system,"overview of central and peripheral nervous system organization",easy,nervous system,12.1 Basic Structure and Function of the Nervous System,approved_open_source
IMG005,IMG005_brachial_plexus.png,nervous system,Brachial plexus,"roots; trunks; divisions; cords; nerves",upper limb,"upper limb nerve organization",medium,nervous system,12.1 Basic Structure and Function of the Nervous System,approved_open_source
IMG006,IMG006_skeletal_muscle_fiber.png,muscle structure,Shoulder muscles,"rotator cuff; subscapularis; latissimus dorsi; biceps; trapezius; shoulder muscle group","shoulder and upper limb","upper limb movement and stabilization",hard,muscle structure,10.2 Skeletal Muscle,approved_open_source
